Release_Year,EventGroup_strTitle,Event_dtmReleaseDate
2013,Hours,13/12/2013 00:00:00
2013,Old Boy,13/12/2013 00:00:00
2013,Soulmate,13/12/2013 00:00:00
2013,The Hobbit: The Desolation of Smaug ,13/12/2013 00:00:00
2013,"Jet And Jin, Scorpion king, Air Flight",18/12/2013 00:00:00
2013,All The Light In The Sky,20/12/2013 00:00:00
2013,Anchorman: The Legend Continues,20/12/2013 00:00:00
2013,Cloudy With A Chance Of Meatballs 2 ,20/12/2013 00:00:00
2013,Gulliver And The Lilliputs ,20/12/2013 00:00:00
2013,Haunted Mine,20/12/2013 00:00:00
2013,Infected,20/12/2013 00:00:00
2013,Jett and Jinn,20/12/2013 00:00:00
2013,SOS Planet,20/12/2013 00:00:00
2013,The Past,20/12/2013 00:00:00
2013,Wrong Cops,20/12/2013 00:00:00
2013,Labor Day,25/12/2013 00:00:00
2013,The Invisible Woman,25/12/2013 00:00:00
2013,Tom Yum Goong 2 ,27/12/2013 00:00:00
2013,Walking with Dinosaurs,27/12/2013 00:00:00
2013,Walking with Dinosaurs 3D ,27/12/2013 00:00:00
2014,47 Ronin  ,03/01/2014 00:00:00
2014,Adventure,03/01/2014 00:00:00
2014,Devil's Due,03/01/2014 00:00:00
2014,Horror,03/01/2014 00:00:00
2014,Open Grave,03/01/2014 00:00:00
2014,Paranormal Activity: The Marked Ones,03/01/2014 00:00:00
2014,Rescue And Haunted Graves,03/01/2014 00:00:00
2014,The Amityville Horror: The Lost Tapes,03/01/2014 00:00:00
2014,The Secret Life of Walter Mitty,03/01/2014 00:00:00
2014,Ice Fighter & Roller Coaster,05/01/2014 00:00:00
2014,Phantom House+Roller Coaster,05/01/2014 00:00:00
2014,Predator Attack+Roller Coaster,05/01/2014 00:00:00
2014,Prehistoric Adventure+Roller Coaster,05/01/2014 00:00:00
2014,Scorpion King+Roller Coaster,05/01/2014 00:00:00
2014,Birth Of The Living Dead,07/01/2014 00:00:00
2014,Grudge Match,10/01/2014 00:00:00
2014,Inside Llewyn Davis,10/01/2014 00:00:00
2014,The Banshee Chapter,10/01/2014 00:00:00
2014,The Rocket,10/01/2014 00:00:00
2014,American Hustle,17/01/2014 00:00:00
2014,Carrie,17/01/2014 00:00:00
2014,"Forest Adventure, Pharaoh Queen & Canyon Coaster",17/01/2014 00:00:00
