number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
3951,2017,The House,25584504,40000000,2017-06-30,Warner Bros.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Gary Sanchez Productions,Good Universe,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment",United States,yes,25m-50m,50k-50m,Andrew J. Cohen,"comedy,crime",English,4481514,"Comedy,Crime",time_warner
3908,2017,American Made,51342000,50000000,2017-09-29,Universal,R,,Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Cross Creek Pictures,Imagine Entertainment,Quadrant Pictures,Vendian Entertainment,Hercules Film Fund,Universal Pictures,Brian Grazer Productions",United States,yes,50m-75m,50m-100m,Doug Liman,"action,biography,comedy","English,Spanish",3532216,"Action,Biography,Comedy,Crime,Thriller",nbc_universal
150,2013,Closed Circuit,5750995,0,2013-08-28,Focus Features,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Focus Features,Working Title Films","United Kingdom,United States",yes,no info,50k-50m,John Crowley,"crime,drama,mystery",English,2218003,"Crime,Drama,Mystery,Thriller",nbc_universal
805,2014,Edge of Tomorrow,100206256,178000000,2014-06-06,Warner Bros.,PG-13,,Based on Comic/Graphic Novel,Action,Live Action,Science Fiction,"Warner Bros.,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment",United States,yes,175m-200m,100m-150m,Doug Liman,"action,adventure,sci-fi",English,1631867,"Action,Sci-Fi",time_warner
801,2014,Rio 2,131538435,130000000,2014-04-11,20th Century Fox,G,Rio,Original Screenplay,Adventure,Digital Animation,Kids Fiction,"20th Century Fox Animation,Blue Sky Studios",United States,yes,125m-150m,100m-150m,Carlos Saldanha,"adventure,animation,comedy","English,Portuguese",2357291,"Animation,Adventure,Comedy,Family,Musical",21st_century_fox
105,2013,The World's End,26004851,20000000,2013-08-23,Focus Features,R,Three Flavours Cornetto Trilogy,Original Screenplay,Comedy,Live Action,Science Fiction,"Focus Features,Universal Pictures,Relativity Media,Working Title Films,Big Talk Pictures,Dentsu Inc.,Fuji Television Network","Japan,United Kingdom,United States",yes,100k-25m,50k-50m,Edgar Wright,"action,comedy,sci-fi",English,1213663,"Action,Comedy,Sci-Fi",nbc_universal
1770,2015,The Intern,75764672,40000000,2015-09-25,Warner Bros.,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,Waverly Films,United States,yes,25m-50m,50m-100m,Nancy Meyers,"comedy,drama",English,2361509,"Comedy,Drama",time_warner
820,2014,Hercules,72688614,100000000,2014-07-25,Paramount Pictures,PG-13,,Based on Folk Tale/Legend/Fairytale,Action,Live Action,Fantasy,"Flynn Picture Company,Radical Studios",United States,yes,100m-125m,50m-100m,Brett Ratner,"action,adventure,fantasy",English,1267297,"Action,Adventure,Fantasy",viacom
1853,2015,Aloha,21052030,37000000,2015-05-29,Sony Pictures,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Columbia Pictures,Regency Enterprises,Scott Rudin Productions,Vinyl Films,LStar Capital,RatPac Entertainment",United States,yes,25m-50m,50k-50m,Cameron Crowe,"comedy,drama,romance","English,Hawaiian,Russian",1243974,"Comedy,Drama,Romance",sony
879,2014,That Awkward Moment,26068955,8000000,2014-01-31,FilmDistrict,R,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"TreeHouse Pictures,Aversano Films,What If It Barks Films,Ninjas Runnin' Wild Productions,Virgin",United States,yes,100k-25m,50k-50m,Tom Gormican,"comedy,romance",English,1800246,"Comedy,Romance",others
