number,year,title,domestic_box_office,production_budget,domestic_release_date,domestic_distributor,mpaa_rating,franchise,source,genre,production_method,creative_type,production_companies,production_countries,released_in_india_2nd_check,production_budget_bins,domestic_box_office_bins,director,genres_imdb_final,languages_imdb,id_imdb,genres_imdb_extended,distributor_us
831,2014,The Grand Budapest Hotel,59076019,31000000,2014-03-07,Fox Searchlight,R,,Original Screenplay,Comedy,Live Action,Historical Fiction,"Fox Searchlight Pictures,Indian Paintbrush,Studio Babelsberg,American Empirical",United States,yes,25m-50m,50m-100m,Wes Anderson,"adventure,comedy,drama","English,French,German",2278388,"Adventure,Comedy,Drama",21st_century_fox
2945,2016,Deepwater Horizon,61433527,156000000,2016-09-30,Lionsgate,PG-13,,Based on Real Life Events,Drama,Live Action,Dramatization,"Participant Media,di Bonaventura Pictures,Summit Entertainment,Closest to the Hole,Leverage",United States,yes,150m-175m,50m-100m,Peter Berg,"action,drama,history",English,1860357,"Action,Drama,History,Thriller",lionsgate
1845,2015,Burnt,13651946,20000000,2015-10-30,Weinstein Co.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Shiny Penny,3 Arts Entertainment,Battle Mountain Films,Weinstein Company",United States,yes,100k-25m,50k-50m,John Wells,"comedy,drama","English,French,Italian",2503944,"Comedy,Drama",others
823,2014,Non-Stop,91742160,50000000,2014-02-28,Universal,PG-13,,Original Screenplay,Action,Live Action,Contemporary Fiction,"Silver Pictures,Anton Capital Entertainment,Lovefilm",United States,yes,50m-75m,50m-100m,Jaume Collet-Serra,"action,mystery,thriller","English,German",2024469,"Action,Mystery,Thriller",nbc_universal
5438,2018,Action Point,5059608,19000000,2018-06-01,Paramount Pictures,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Paramount Pictures,Gerber Pictures,Hello Junior",United States,yes,100k-25m,50k-50m,Tim Kirkby,comedy,English,6495770,Comedy,viacom
3877,2017,Kingsman: The Golden Circle,100234838,104000000,2017-09-22,20th Century Fox,R,Kingsman,Based on Comic/Graphic Novel,Action,Live Action,Contemporary Fiction,"20th Century Fox,MARV Films","United Kingdom,United States",yes,100m-125m,100m-150m,Matthew Vaughn,"action,adventure,comedy","English,Italian,Swedish",4649466,"Action,Adventure,Comedy",21st_century_fox
1769,2015,Straight Outta Compton,161197785,28000000,2015-08-14,Universal,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Broken Chair Flickz,New Line Cinema,Cube Vision,Crucial Films",United States,yes,25m-50m,150m-200m,F. Gary Gray,"biography,drama,history",English,1398426,"Biography,Drama,History,Music",nbc_universal
2907,2016,The Legend of Tarzan,126643061,180000000,2016-07-01,Warner Bros.,PG-13,,Based on Fiction Book/Short Story,Adventure,Live Action,Historical Fiction,"Warner Bros.,Village Roadshow Productions,RatPac Entertainment,Dune Entertainment,Jerry Weintraub,Riche-Ludwig,Beaglepug",United States,yes,175m-200m,100m-150m,David Yates,"action,adventure,drama","English,Lingala,French",918940,"Action,Adventure,Drama,Fantasy,Romance",time_warner
5510,2018,Teen Titans Go! To The Movies,29344517,10000000,2018-07-27,Warner Bros.,PG,,Based on TV,Adventure,Digital Animation,Kids Fiction,Warner Animation Group,United States,yes,100k-25m,50k-50m,"Aaron Horvath,Peter Rida Michail","action,animation,comedy",English,7424200,"Animation,Action,Comedy,Family,Musical,Sci-Fi",time_warner
849,2014,Ouija,50856010,5000000,2014-10-24,Universal,PG-13,Ouija,Based on Game,Horror,Live Action,Fantasy,"Platinum Dunes,Blumhouse,Hasbro",United States,yes,100k-25m,50m-100m,Stiles White,"horror,thriller",English,1204977,"Horror,Thriller",nbc_universal
5066,2018,The Commuter,36343858,0,2018-01-12,Lionsgate,PG-13,,Original Screenplay,Action,Live Action,Contemporary Fiction,"StudioCanal,The Picture Company,Ombra Films,Lionsgate",United States,yes,no info,50k-50m,Jaume Collet-Serra,"action,crime,drama","English,Spanish",1590193,"Action,Crime,Drama,Mystery,Thriller",lionsgate
856,2014,The Hundred-Foot Journey,54235441,22000000,2014-08-08,Walt Disney,PG,,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,"DreamWorks Pictures,Reliance Entertainment,Participant Media,Image Nation,Amblin Entertainment,Harpo Films",United States,yes,100k-25m,50m-100m,Lasse Hallström,"comedy,drama","English,French,Hindi",2980648,"Comedy,Drama",disney
1953,2015,Knight of Cups,566006,0,2015-03-04,Broad Green Pictures,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Waypoint Entertainment,FilmNation Entertainment",United States,yes,no info,50k-50m,Terrence Malick,"drama,romance","English,German,Spanish,Serbian",2101383,"Drama,Romance",others
2916,2016,Alice Through the Looking Glass,77042381,170000000,2016-05-27,Walt Disney,PG,Alice in Wonderland,Based on Fiction Book/Short Story,Adventure,Animation/Live Action,Fantasy,"Walt Disney Pictures,Roth Films,Team Todd,Tim Burton",United States,yes,150m-175m,50m-100m,James Bobin,"adventure,family,fantasy",English,2567026,"Adventure,Family,Fantasy",disney
2891,2016,The Secret Life of Pets,368384330,75000000,2016-07-08,Universal,PG,,Original Screenplay,Adventure,Digital Animation,Kids Fiction,"Illumination Entertainment,Universal Pictures,Chris Meledandri,Dentsu Inc.,Fuji Television Network",United States,yes,75m-100m,350m-400m,Chris Renaud,"adventure,animation,comedy",English,2709768,"Animation,Adventure,Comedy,Family",nbc_universal
3934,2017,The Big Sick,42872467,5000000,2017-07-14,Lionsgate,R,,Based on Real Life Events,Romantic Comedy,Live Action,Dramatization,"Amazon Studios,FilmNation Entertainment,Apatow Productions",United States,yes,100k-25m,50k-50m,Michael Showalter,"comedy,drama,romance","English,Urdu",5462602,"Comedy,Drama,Romance",lionsgate
2898,2016,Sing,270329045,75000000,2016-12-21,Universal,PG,,Original Screenplay,Adventure,Digital Animation,Kids Fiction,Illumination Entertainment,United States,yes,75m-100m,250m-300m,Garth Jennings,"animation,comedy,family","English,Japanese,Ukrainian",3470600,"Animation,Comedy,Family,Music,Musical",nbc_universal
2908,2016,Trolls,153707064,125000000,2016-11-04,20th Century Fox,PG,,Based on Toy,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,PDI,DreamWorks Pictures",United States,yes,125m-150m,150m-200m,Mike Mitchell,"adventure,animation,comedy",English,1679335,"Animation,Adventure,Comedy,Family,Fantasy,Musical",21st_century_fox
5117,2018,Black Panther,700059566,200000000,2018-02-16,Walt Disney,PG-13,Marvel Cinematic Universe,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Marvel Studios,United States,yes,200m-225m,700m-750m,Ryan Coogler,"action,adventure,sci-fi","Swahili,Nama,English,Xhosa,Korean",1825683,"Action,Adventure,Sci-Fi",disney
3082,2016,American Honey,663247,3500000,2016-09-30,A24,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Parts and Labor,Pulse Films,Film4,Maven Pictures,BFI,Mandown Pictures","United Kingdom,United States",yes,100k-25m,50k-50m,Andrea Arnold,"adventure,drama,romance",English,3721936,"Adventure,Drama,Romance",others
3101,2016,Equity,1605463,0,2016-07-29,Sony Pictures Classics,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Sony Pictures Classics,Broad Street Pictures",United States,yes,no info,50k-50m,Meera Menon,drama,English,3958780,Drama,sony
965,2014,Tusk,1821983,3000000,2014-09-19,A24,R,The True North Trilogy,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Demarest Films,XYZ Films,SModcast Pictures",United States,yes,100k-25m,50k-50m,Kevin Smith,"comedy,drama,horror",English,3099498,"Comedy,Drama,Horror",others
886,2014,Earth to Echo,38934842,13000000,2014-07-02,Relativity,PG,,Original Screenplay,Adventure,Animation/Live Action,Kids Fiction,Panay Films,United States,yes,100k-25m,50k-50m,David Green,"adventure,family,sci-fi",English,2183034,"Adventure,Family,Sci-Fi",others
3994,2017,Just Getting Started,6069605,22000000,2017-12-08,Broad Green Pictures,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Broad Green Pictures,Entertainment One,Endurance Pictures,Gerber Pictures",United States,yes,100k-25m,50k-50m,Ron Shelton,"action,comedy",English,5721088,"Action,Comedy",others
3862,2017,Spider-Man: Homecoming,334201140,175000000,2017-07-07,Sony Pictures,PG-13,Spider-Man,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Marvel Studios,Columbia Pictures,LStar Capital",United States,yes,175m-200m,300m-350m,Jon Watts,"action,adventure,sci-fi","English,Spanish",2250912,"Action,Adventure,Sci-Fi",sony
1785,2015,Paul Blart: Mall Cop 2,71091594,38000000,2015-04-17,Sony Pictures,PG,Paul Blart: Mall Cop,Original Screenplay,Adventure,Live Action,Contemporary Fiction,"Happy Madison,Hey Eddie,Broken Road",United States,yes,25m-50m,50m-100m,Andy Fickman,"action,comedy,crime",English,3450650,"Action,Comedy,Crime,Family",sony
145,2013,Peeples,9177065,15000000,2013-05-10,Lionsgate,PG-13,,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,,United States,yes,100k-25m,50k-50m,Tina Gordon Chism,"comedy,romance",English,1699755,"Comedy,Romance",lionsgate
1746,2015,Fifty Shades of Grey,166167230,40000000,2015-02-13,Universal,R,Fifty Shades of Grey,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Focus Features,Michael De Luca,Trigger Street Productions",United States,no,25m-50m,150m-200m,Sam Taylor-Johnson,"drama,romance,thriller",English,2322441,"Drama,Romance,Thriller",nbc_universal
866,2014,Son of God,59700064,22000000,2014-02-28,20th Century Fox,PG-13,,Based on Religious Text,Drama,Live Action,Dramatization,"Lightworkers Media,20th Century Fox",United States,yes,100k-25m,50m-100m,Christopher Spencer,"biography,drama,history","English,Hebrew",3210686,"Biography,Drama,History",21st_century_fox
858,2014,Paranormal Activity: The Marked Ones,32462372,5000000,2014-01-03,Paramount Pictures,R,Paranormal Activity,Spin-Off,Horror,Live Action,Fantasy,"Blumhouse,Solana Films",United States,yes,100k-25m,50k-50m,Christopher Landon,"horror,thriller","English,Spanish",2473682,"Horror,Thriller",viacom
814,2014,Divergent,150947895,85000000,2014-03-21,Lionsgate,PG-13,The Divergent Series,Based on Fiction Book/Short Story,Adventure,Live Action,Science Fiction,Red Wagon Entertainment,United States,yes,75m-100m,150m-200m,Neil Burger,"adventure,mystery,sci-fi","English,Spanish",1840309,"Adventure,Mystery,Sci-Fi",lionsgate
120,2013,The Way Way Back,21502690,5000000,2013-07-05,Fox Searchlight,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Sycamore Pictures,DoubleYou,OddLot Entertainment,What Just Happened Productions",United States,yes,100k-25m,50k-50m,"Nat Faxon,Jim Rash","comedy,drama",English,1727388,"Comedy,Drama",21st_century_fox
29,2013,We're the Millers,150394119,37000000,2013-08-07,Warner Bros.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Newman/Tooley,Slap Happy Productions,Heyday Films,Benderspink Productions",United States,yes,25m-50m,150m-200m,Rawson Marshall Thurber,"comedy,crime","English,Spanish",1723121,"Comedy,Crime",time_warner
5190,2018,Gringo,4969853,0,2018-03-09,STX Entertainment,R,,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,"Amazon Studios,Blue Tongue Films,Denver & Delilah Films",United States,yes,no info,50k-50m,Nash Edgerton,"action,comedy,crime","English,Spanish,French",3721964,"Action,Comedy,Crime,Drama",others
3860,2017,Despicable Me 3,264624300,75000000,2017-06-30,Universal,PG,Despicable Me,Original Screenplay,Adventure,Digital Animation,Kids Fiction,"Universal Pictures,Illumination Entertainment",United States,yes,75m-100m,250m-300m,"Pierre Coffin,Kyle Balda","action,adventure,animation",English,3469046,"Animation,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi",nbc_universal
114,2013,Mud,21590086,10000000,2013-04-26,Roadside Attractions,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Everest Entertainment,Brace Cove Productions,FilmNation Entertainment",United States,yes,100k-25m,50k-50m,Jeff Nichols,drama,English,1935179,Drama,lionsgate
3912,2017,The Lego Ninjago Movie,59281555,70000000,2017-09-22,Warner Bros.,PG,Lego,Based on Toy,Adventure,Digital Animation,Kids Fiction,"Lego Systems A/S ,Vertigo Entertainment,Animal Logic,Lin Pictures,RatPac Entertainment,Dune Entertainment,Warner Animation Group","Denmark,United States",yes,50m-75m,50m-100m,"Charlie Bean,Paul Fisher","action,adventure,animation",English,3014284,"Animation,Action,Adventure,Comedy,Family",time_warner
1752,2015,Terminator: Genisys,89760956,155000000,2015-07-01,Paramount Pictures,PG-13,Terminator,Original Screenplay,Action,Live Action,Science Fiction,"Skydance Productions,Paramount Pictures",United States,yes,150m-175m,50m-100m,Alan Taylor,"action,adventure,sci-fi",English,1340138,"Action,Adventure,Sci-Fi",viacom
3890,2017,Alien: Covenant,74262031,97000000,2017-05-19,20th Century Fox,R,Alien,Original Screenplay,Horror,Live Action,Science Fiction,"20th Century Fox,Scott Free Films,TSG Entertainment,Brandywine",United States,yes,75m-100m,50m-100m,Ridley Scott,"horror,sci-fi,thriller",English,2316204,"Horror,Sci-Fi,Thriller",21st_century_fox
2984,2016,The Finest Hours,27569558,70000000,2016-01-29,Walt Disney,PG,,Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Walt Disney Pictures,Whitaker Entertainment,Red Hawk Films",United States,yes,50m-75m,50k-50m,Craig Gillespie,"action,drama,history",English,2025690,"Action,Drama,History,Thriller",disney
2950,2016,The 5th Wave,34912982,38000000,2016-01-22,Sony Pictures,PG-13,,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction,"Columbia Pictures,LStar Capital,Material Pictures,GK Films",United States,yes,25m-50m,50k-50m,J. Blakeson,"action,adventure,sci-fi",English,2304933,"Action,Adventure,Sci-Fi,Thriller",sony
854,2014,The Book of Life,50151543,50000000,2014-10-17,20th Century Fox,PG,,Original Screenplay,Adventure,Digital Animation,Fantasy,Guillermo del Toro,United States,yes,50m-75m,50m-100m,Jorge R. Gutierrez,"adventure,animation,comedy","English,Spanish",2262227,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance",21st_century_fox
2954,2016,Dirty Grandpa,35593113,11500000,2016-01-22,Lionsgate,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"QED International,Lionsgate,BillBlock Media,Josephson Entertainment",United States,yes,100k-25m,50k-50m,Dan Mazer,comedy,English,1860213,Comedy,lionsgate
3063,2016,Hands of Stone,4712792,20000000,2016-08-26,Weinstein Co.,R,,Based on Real Life Events,Drama,Live Action,Dramatization,"Fuego Films,Vertical Entertainment,Panama Film Commission,Epicentral Studios",United States,yes,100k-25m,50k-50m,Jonathan Jakubowicz,"action,biography,drama","English,Spanish",1781827,"Action,Biography,Drama,Sport",others
1851,2015,Mr. Holmes,17737646,0,2015-07-17,Miramax/Roadside Attractions,PG,,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,"See-Saw Films,Archer Gray Productions",United States,yes,no info,50k-50m,Bill Condon,"drama,mystery","English,Japanese,French",3168230,"Drama,Mystery",lionsgate
89,2013,The Host,26623701,50000000,2013-03-29,Open Road,PG-13,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,"Open Road Films,IAV International,Silver Reel Entertainment,Nick Wechsler,Chockstone Pictures,Fickle Fish",United States,yes,50m-75m,50k-50m,Andrew Niccol,"action,adventure,romance",English,1517260,"Action,Adventure,Romance,Sci-Fi,Thriller",others
2900,2016,Kung Fu Panda 3,143528619,140000000,2016-01-29,20th Century Fox,PG,Kung Fu Panda,Original Screenplay,Adventure,Digital Animation,Kids Fiction,"DreamWorks Animation,Oriental DreamWorks,China Film Co. LTD,Zhong Ming You Ying Film",United States,yes,125m-150m,100m-150m,"Jennifer Yuh Nelson,Alessandro Carloni","action,adventure,animation",English,2267968,"Animation,Action,Adventure,Comedy,Family,Fantasy",21st_century_fox
5430,2018,Tag,54547470,28000000,2018-06-15,Warner Bros.,R,,Based on Factual Book/Article,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Broken Road",United States,yes,25m-50m,50m-100m,Jeff Tomsic,comedy,English,2854926,Comedy,time_warner
1819,2015,The Boy Next Door,36006065,4000000,2015-01-23,Universal,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Blumhouse,Smart Entertainment,Nuyorican",United States,yes,100k-25m,50k-50m,Rob Cohen,"drama,horror,romance",English,3181822,"Drama,Horror,Romance,Thriller",nbc_universal
1861,2015,The Gunman,10664749,40000000,2015-03-20,Open Road,R,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Silver Pictures,Nostromo Pictures,Prone Gunman AIE,Prone Gunman Limited,TF1 Film Productions,Canal Plus","France,Spain,United Kingdom,United States",yes,25m-50m,50k-50m,Pierre Morel,"action,crime,drama","English,Spanish",2515034,"Action,Crime,Drama,Mystery,Thriller",others
816,2014,Mr. Peabody & Sherman,111506430,145000000,2014-03-07,20th Century Fox,PG,,Based on TV,Adventure,Digital Animation,Kids Fiction,"Bullwinkle Studios,DreamWorks Animation,PDI",United States,yes,125m-150m,100m-150m,Rob Minkoff,"adventure,animation,comedy",English,864835,"Animation,Adventure,Comedy,Family,Sci-Fi",21st_century_fox
1767,2015,Ted 2,81476385,68000000,2015-06-26,Universal,R,Ted,Original Screenplay,Comedy,Live Action,Fantasy,"Fuzzy Door,Bluegrass Films",United States,yes,50m-75m,50m-100m,Seth MacFarlane,comedy,English,2637276,Comedy,nbc_universal
3876,2017,The Mummy,80101125,195000000,2017-06-09,Universal,PG-13,Dark Universe,Based on Folk Tale/Legend/Fairytale,Adventure,Live Action,Historical Fiction,"Universal Pictures,Perfect World Pictures,Secret Hideout,Conspiracy Factory,Sean Daniel Company",United States,yes,175m-200m,50m-100m,Alex Kurtzman,"action,adventure,fantasy","English,Egyptian (Ancient)",2345759,"Action,Adventure,Fantasy,Thriller",nbc_universal
3889,2017,Get Out,176040665,5000000,2017-02-24,Universal,R,,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Blumhouse,QC Entertainment,Universal Pictures,Monkeypaw Pictures",United States,yes,100k-25m,150m-200m,Jordan Peele,"horror,mystery,thriller",English,5052448,"Horror,Mystery,Thriller",nbc_universal
5339,2018,Life of the Party,52856061,30000000,2018-05-11,Warner Bros.,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,On The Day Productions",United States,yes,25m-50m,50m-100m,Ben Falcone,comedy,English,5619332,Comedy,time_warner
1840,2015,A Walk in the Woods,29499394,0,2015-09-02,Broad Green Pictures,R,,Based on Factual Book/Article,Adventure,Live Action,Dramatization,"Route One,Union Investment Partners,Wildwood Enterprises",United States,yes,no info,50k-50m,Ken Kwapis,"adventure,biography,comedy",English,1178665,"Adventure,Biography,Comedy,Drama",others
1865,2015,While We're Young,7582065,10000000,2015-03-27,A24,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"A24,IAC Films",United States,yes,100k-25m,50k-50m,Noah Baumbach,"comedy,drama,mystery",English,1791682,"Comedy,Drama,Mystery",others
2921,2016,Ghostbusters,128350574,144000000,2016-07-15,Sony Pictures,PG-13,Ghostbusters,Remake,Comedy,Live Action,Science Fiction,"Columbia Pictures,Village Roadshow Productions,Ivan Reitman Production",United States,yes,125m-150m,100m-150m,Paul Feig,"action,comedy,fantasy",English,1289401,"Action,Comedy,Fantasy,Sci-Fi",sony
71,2013,Safe Haven,71399120,28000000,2013-02-14,Relativity,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"Temple Hill Entertainment,Relativity Media,Nicholas Sparks Productions",United States,yes,25m-50m,50m-100m,Lasse Hallström,"drama,romance,thriller","English,Portuguese",1702439,"Drama,Romance,Thriller",others
795,2014,The Amazing Spider-Man 2,202853933,200000000,2014-05-02,Sony Pictures,PG-13,Spider-Man,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Marvel Studios,United States,yes,200m-225m,200m-250m,Marc Webb,"action,adventure,sci-fi",English,1872181,"Action,Adventure,Sci-Fi",sony
124,2013,Before Midnight,8110621,3000000,2013-05-24,Sony Pictures Classics,R,Before Sunrise,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Venture 4th,Castle Rock Entertainment,Faliro House Productions","Greece,United Kingdom,United States",yes,100k-25m,50k-50m,Richard Linklater,"drama,romance","English,Greek,French",2209418,"Drama,Romance",sony
811,2014,22 Jump Street,191719337,50000000,2014-06-13,Sony Pictures,R,21 Jump Street,Based on TV,Comedy,Live Action,Contemporary Fiction,"Columbia Pictures,Metro-Goldwyn-Mayer Pictures,LStar Capital,MRC,Original Film,Cannell Studios",United States,yes,50m-75m,150m-200m,"Phil Lord,Christopher Miller","action,comedy,crime",English,2294449,"Action,Comedy,Crime",sony
4013,2017,Good Time,2026498,0,2017-08-11,A24,R,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Elara Pictures,Rhea Films,Hercules Film Fund",United States,yes,no info,50k-50m,"Josh Safdie,Benny Safdie","crime,drama,thriller",English,4846232,"Crime,Drama,Thriller",others
5120,2018,Game Night,69001013,37000000,2018-02-23,Warner Bros.,R,,Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Aggregate Films,Davis Entertainment,New Line Cinema,Dune Entertainment,Access Entertainment",United States,yes,25m-50m,50m-100m,"John Francis Daley,Jonathan Goldstein","action,comedy,crime",English,2704998,"Action,Comedy,Crime,Mystery",time_warner
92,2013,Runner Runner,19316646,30000000,2013-10-04,20th Century Fox,R,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Regency Enterprises,New Regency,Appian Way,Double Feature Films",United States,yes,25m-50m,50k-50m,Brad Furman,"crime,thriller","English,Spanish",2364841,"Crime,Thriller",21st_century_fox
3926,2017,47 Meters Down,44307193,0,2017-06-16,Entertainment Studios Motion Pictures,PG-13,,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Dimension Films,The Fyzz Facility,Dragon Root,Flexibon Films,The Tea Shop & Film Company,Lantica Pictures",United States,yes,no info,50k-50m,Johannes Roberts,"adventure,drama,horror","English,Spanish",2932536,"Adventure,Drama,Horror,Thriller",others
41,2013,Jack the Giant Slayer,65187603,195000000,2013-03-01,Warner Bros.,PG-13,,Based on Folk Tale/Legend/Fairytale,Adventure,Animation/Live Action,Fantasy,"New Line Cinema,Legendary Pictures,Original Film,Big Kid Pictures,Bad Hat Harry Productions,Bryan Singer",United States,yes,175m-200m,50m-100m,Bryan Singer,"adventure,fantasy",English,1351685,"Adventure,Fantasy",time_warner
853,2014,Heaven is for Real,91386097,12000000,2014-04-16,Sony Pictures,PG,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Roth Films,T.D. Jakes",United States,yes,100k-25m,50m-100m,Randall Wallace,"biography,drama,family",English,1929263,"Biography,Drama,Family",sony
3916,2017,Atomic Blonde,51573925,30000000,2017-07-28,Focus Features,R,,Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,Historical Fiction,"Focus Features,Sierra Films,Denver & Delilah Films,Chickie The Cop,GIM Films,87Eleven Inc.",United States,yes,25m-50m,50m-100m,David Leitch,"action,mystery,thriller","English,German,Russian,Swedish",2406566,"Action,Mystery,Thriller",nbc_universal
2924,2016,Me Before You,56245075,20000000,2016-06-03,Warner Bros.,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"New Line Cinema,Metro-Goldwyn-Mayer Pictures,Sunswept Entertainment",United States,yes,100k-25m,50m-100m,Thea Sharrock,"drama,romance","English,French",2674426,"Drama,Romance",time_warner
1893,2015,Child 44,1224330,50000000,2015-04-17,Lionsgate,R,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,"Scott Free Films,Worldview Entertainment","United Kingdom,United States",yes,50m-75m,50k-50m,Daniel Espinosa,"crime,drama,history","English,Russian",1014763,"Crime,Drama,History,Thriller",lionsgate
127,2013,Bullet to the Head,9489829,55000000,2013-02-01,Warner Bros.,R,,Based on Comic/Graphic Novel,Action,Live Action,Contemporary Fiction,"Warner Bros.,Dark Castle Entertainment,IM Global,Millar/Gough Ink,After Dark Films",United States,yes,50m-75m,50k-50m,Walter Hill,"action,thriller",English,1308729,"Action,Crime,Thriller",time_warner
5336,2018,Deadpool 2,318482400,110000000,2018-05-18,20th Century Fox,R,Deadpool,Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Marvel Studios,Donners' Company,Twentieth Century Fox,Kinberg Genre,Maximum Effect ",United States,yes,100m-125m,300m-350m,David Leitch,"action,adventure,comedy",English,5463162,"Action,Adventure,Comedy,Sci-Fi",21st_century_fox
1825,2015,Max,42656255,20000000,2015-06-26,Warner Bros.,PG,Max,Original Screenplay,Adventure,Live Action,Contemporary Fiction,Sunswept Entertainment,United States,yes,100k-25m,50k-50m,Boaz Yakin,"adventure,drama,family",English,3369806,"Adventure,Drama,Family,Fantasy,War",time_warner
147,2013,Black Nativity,7018188,17500000,2013-11-27,20th Century Fox,PG,,Based on Play,Musical,Live Action,Fantasy,"Maven Pictures,Wonderful Films",United States,yes,100k-25m,50k-50m,Kasi Lemmons,"drama,family,music",English,1425922,"Drama,Family,Music,Musical",21st_century_fox
3109,2016,Certain Women,1068054,0,2016-10-14,IFC Films,R,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,"IFC Films,Filmscience",United States,yes,no info,50k-50m,Kelly Reichardt,drama,English,4468634,Drama,others
2989,2016,Almost Christmas,42065185,17000000,2016-11-11,Universal,PG-13,,Original Screenplay,Drama,Live Action,Contemporary Fiction,"Universal Pictures,Will Packer Productions,Perfect World Pictures",United States,yes,100k-25m,50k-50m,David E. Talbert,"comedy,drama",English,4649416,"Comedy,Drama",nbc_universal
5121,2018,The 15:17 to Paris,36250957,30000000,2018-02-09,Warner Bros.,PG-13,,Based on Factual Book/Article,Drama,Live Action,Dramatization,"Village Roadshow Productions,Warner Bros.,Malpaso Productions,Access Motion Pictures,Dune Entertainment",United States,yes,25m-50m,50k-50m,Clint Eastwood,"biography,drama","English,French,Arabic,German,Dutch",6802308,"Biography,Drama",time_warner
61,2013,Free Birds,55750480,55000000,2013-11-01,Relativity,PG,,Original Screenplay,Adventure,Digital Animation,Kids Fiction,,United States,yes,50m-75m,50m-100m,Jimmy Hayward,"adventure,animation,comedy",English,1621039,"Animation,Adventure,Comedy,Family,Sci-Fi",others
803,2014,The Lego Movie,257784718,60000000,2014-02-07,Warner Bros.,PG,Lego,Based on Toy,Adventure,Digital Animation,Kids Fiction,"Vertigo Entertainment,Lin Pictures,Warner Animation Group","Australia,United States",yes,50m-75m,250m-300m,"Phil Lord,Christopher Miller","action,adventure,animation",English,1490017,"Animation,Action,Adventure,Comedy,Family,Fantasy",time_warner
1815,2015,The Perfect Guy,57027435,18000000,2015-09-11,Sony Pictures,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,Rocklin/Faust,United States,yes,100k-25m,50m-100m,David M. Rosenthal,"drama,thriller",English,3862750,"Drama,Thriller",sony
844,2014,The Boxtrolls,50837305,60000000,2014-09-26,Focus Features,PG,,Based on Fiction Book/Short Story,Adventure,Stop-Motion Animation,Kids Fiction,Laika,United States,yes,50m-75m,50m-100m,"Anthony Stacchi,Graham Annable","adventure,animation,comedy",English,787474,"Animation,Adventure,Comedy,Family,Fantasy",nbc_universal
2,2013,Iron Man 3,408992272,200000000,2013-05-03,Walt Disney,PG-13,Iron Man,Based on Comic/Graphic Novel,Action,Animation/Live Action,Super Hero,"Marvel Studios,Paramount Pictures,DMG Entertainment",United States,yes,200m-225m,400m-450m,Shane Black,"action,adventure,sci-fi",English,1300854,"Action,Adventure,Sci-Fi",disney
